id_bien;code_departement_code_commune;numero_voie;b_t_q;type_voie;code_voie;voie;prefix_section;section;numero_plan;lot;surface_carrez;surface_reelle;surface_terrain;type_local;nombre_piece
94065112146I14370;94065;11;;RUE;2146;VUILLEFROY DE SILLY;;I;143;70;27.96;28;;Appartement;1
940687117N10911;94068;7;;RUE;117;ANDRE BOLLIER;;N;109;11;107.18;104;;Maison;5
9407376166J157102;94073;7;;ALL;6166;DE MONACO;;J;157;102;63.7;63;;Appartement;3
94073857148X14833;94073;85;;RUE;7148;PAUL VAILLANT COUTURIER;;X;148;33;45.08;45;;Appartement;2
9407552198AM612;94075;52;;RUE;198;CLARA SCHUMANN;;AM;61;2;65.4;66;;Appartement;3
9408074140A264;94080;7;;RUE;4140;GILBERT CLERFAYT;;A;26;4;79.25;62;;Appartement;4
94081453175BD46219;94081;45;;RUE;3175;EUGENE DERRIEN;;BD;462;19;52.65;54;;Appartement;3
950609B275BA6883;95060;9;B;GR;275;GRANDE RUE;;BA;688;3;40.5;27;;Appartement;1
951995748AL4549;95199;5;;RUE;748;ROBERT DESNOS;;AL;45;49;19.5;19;;Appartement;1
9520331570AI1914;95203;3;;RUE;1570;PIERRE BROSSOLETTE;;AI;19;14;75.05;73;;Appartement;4
952682503BA37328;95268;2;;RUE;503;DES NOISETIERS;;BA;37;328;56.14;54;;Appartement;1
953924040AI897;95392;40;;RUE;40;DE L ABBAYE DU VAL;;AI;89;7;68.5;79;;Maison;2
9542873T380AC2101200;95428;73;T;AV;380;CHARLES DE GAULLE;;AC;210;1200;29.75;30;;Appartement;1
95500101750BH595;95500;10;;RUE;1750;SAINT MARTIN;;BH;59;5;54.06;56;;Appartement;2
9558211305AC593204;95582;1;;MAIL;1305;MADAME DE SEVIGNE;;AC;593;204;77.77;79;;Appartement;4
9558251350AI5104;95582;5;;RUE;1350;DU MARECHAL FOCH;;AI;510;4;28.77;32;;Appartement;2
9558233490AN10621016;95582;33;;BD;490;CHARLES DE GAULLE;;AN;1062;1016;77.09;75;;Appartement;4
9722075255F225A25512;972207;5255;F;AV;225;JEAN JAURES;;A;255;12;25.95;26;;Appartement;1
9722075208339AC208111;972207;5208;;RUE;339;DE LA SOURCE;;AC;208;111;61.04;61;;Appartement;3
97220910A905BW46713;972209;10;A;AV;905;GEORGES PLISSONNEAU;;BW;467;13;33.5;35;;Appartement;2
973309177486AK40314;973309;1774;;RTE;86;DE REMIRE (RD2);;AK;403;14;60.02;52;;Appartement;2
974411451094HI215119;974411;45;;CHE;1094;DES PECHERS;;HI;215;119;23.38;24;;Appartement;1
024084540AE24322;02408;4;;RUE;540;DE LA CONGREGATION;;AE;243;22;28.13;29;;Appartement;1
04226A032AB22319;04226;;;RES;A032;LE MONOIKOS;;AB;22;319;56.19;58;;Appartement;3
050725139B041ZE1145;05072;5139;;;B041;CANARD;;ZE;114;5;14;53;;Appartement;4
051395141B014AA121213;05139;5141;;;B014;LE BOIS D AUROUZE;;AA;12;1213;26.62;25;;Appartement;1
05153533824ZC24513;05153;5338;;COR;24;DU CLOT CHENU;;ZC;245;13;14.33;16;;Appartement;1
0608817660KW6047;06088;17;;AV;660;DES BAUMETTES;;KW;60;47;35.8;37;;Appartement;1
060881032755MH2012;06088;103;;BD;2755;GAMBETTA;;MH;201;2;62.98;62;;Appartement;3
06088521140MR31737;06088;52;;BD;1140;CARLONE;;MR;317;37;22.01;21;;Appartement;1
0608854900MR36534;06088;54;;AV;900;DE LA BORNALA;;MR;365;34;26.02;26;;Appartement;1
0608854900MR36550;06088;54;;AV;900;DE LA BORNALA;;MR;365;50;20.5;20;;Appartement;1
060881171045NE36662;06088;117;;AV;1045;DE LA CALIFORNIE;;NE;366;62;54.06;57;;Appartement;1
060882523550NM12618;06088;252;;AV;3550;DE LA LANTERNE;;NM;126;18;78.01;80;;Appartement;3
061046560AP18115;06104;6;;RUE;560;GRIMALDI;;AP;181;15;11.5;31;;Appartement;2
083625550AH5724;08362;5;;RUE;550;DE GONZAGUE;;AH;572;4;43.64;38;;Appartement;2
1117056165AV10136;11170;56;;RUE;165;DES PALMIERS;;AV;10;136;26.98;33;;Appartement;1
1117048094AW9230;11170;480;;RUE;94;DE LA HUNE;;AW;9;230;30.21;30;;Appartement;2
147015547B196AE4027;14701;5547;;;B196;MONT CANISY;;AE;40;27;79.18;85;;Appartement;3
2205041880AR80103;22050;41;;RUE;880;DE LEHON;;AR;80;103;92.19;95;;Appartement;3
26281270BN26157;26281;2;;RUE;70;AMIRAL COURBET;;BN;261;57;52.4;54;;Appartement;2
263016125P90517;26301;6;;AV;125;GAMBETTA;;P;905;17;57.57;56;;Appartement;3
28085104140AS413;28085;10;;RUE;4140;DE VILLAINES;;AS;41;3;48.55;47;;Appartement;2
280884B1255BE69111;28088;4;B;PL;1255;DE SCHWEINFURT;;BE;691;11;129.67;130;;Appartement;6
290192202249EM39521;29019;220;;RUE;2249;JACQUELINE MAILLAN;;EM;395;21;79.82;80;;Maison;4
29256127AB2131;29256;1;;CHE;27;DES DUNES;;AB;213;1;44.32;48;;Appartement;2
2A00411990BW3577187;2A004;11;;AV;990;NAPOLEON 3;;BW;357;7187;91.34;90;;Appartement;4
3001166703265AW2543;30011;6670;;RUE;3265;DE LA TRAMONTANE;;AW;254;3;38.32;40;;Appartement;2
3013330245CO1061;30133;30;;RTE;245;DES MARINES;;CO;10;61;20.05;20;;Appartement;1
30189311090CY10750;30189;31;;AV;1090;DE BIR HAKEIM;;CY;107;50;77.93;78;;Appartement;5
3018916320EX8011;30189;1;;RUE;6320;DE LA PITIE;;EX;80;11;35.36;37;;Appartement;2
3033419612AY61219;30334;19;;PL;612;AUX HERBES;;AY;612;19;139.99;159;;Appartement;3
3114919726BP31027;31149;19;;AV;726;HENRI MARTIN;;BP;310;27;41.83;42;;Appartement;2
311695338ZB676704;31169;5;;RUE;338;DE L'OCCITANIE;;ZB;676;704;38.88;38;;Appartement;2
314464418AD6151;31446;4;;RUE;418;LEOPOLD SEDAR SENGHOR;;AD;61;51;43.44;45;;Appartement;2
31462235AC112;31462;2;;CHE;35;DU BARRUS;;AC;1;12;101.9;103;;Appartement;4
315553907988842AB419120;31555;390;;RTE;7988;DE SAINT SIMON;842;AB;419;120;50.22;51;;Appartement;2
3300917C2002AO34914;33009;17;C;RUE;2002;ST ELME;;AO;349;14;78.93;78;;Appartement;3
3301910A041CY3610;33019;10;;RES;A041;DU PAS DE MADAME;;CY;36;10;87;87;;Maison;4
330392968AB11722130;33039;2;;RUE;968;GUTENBERG;;AB;1172;2130;63.77;39;;Appartement;2
330569001325BR3861116;33056;9001;;AV;325;DU GEN DE GAULLE;;BR;386;1116;79.74;75;;Appartement;4
33063311240CT4345;33063;31;;RUE;1240;BREMONTIER;;CT;434;5;36.06;36;;Appartement;3
3306346370DT812;33063;46;;CRS;370;ARISTIDE BRIAND;;DT;8;12;61.92;61;;Appartement;2
33063287390HD983;33063;28;;IMP;7390;POITEVINE;;HD;98;3;25.76;32;;Appartement;2
330631365320HP9124;33063;136;;RUE;5320;LECOCQ;;HP;91;24;39.62;40;;Appartement;2
33063537860KH492;33063;53;;RUE;7860;DES REMPARTS;;KH;49;2;27.14;27;;Appartement;2
33097822GB005CA9382;33097;822;G;;B005;LA BAYNASSE SUD;;CA;93;82;28.12;29;;Appartement;2
331191385AB24642;33119;13;;RUE;85;ARISTIDE BRIAND;;AB;246;42;42.08;42;;Appartement;1
3311941571AY5117;33119;4;;RUE;1571;PIERRE CURIE;;AY;51;17;17.58;18;;Appartement;1
3316211367AV18419;33162;11;;ALL;367;LEO LAGRANGE;;AV;184;19;45.03;45;;Appartement;2
3324321503BS3101;33243;2;;RUE;1503;HENRY GUILLIER;;BS;310;1;62.3;51;;Appartement;3
332499001A015AE30848;33249;9001;;RES;A015;LA BACHELLERIE;;AE;308;48;71.79;74;;Appartement;4
33397615B043AZ1691213;33397;615;;;B043;RUAUT;;AZ;169;1213;80.48;66;;Maison;3
334222127BK786;33422;212;;ALL;7;ALBERT SCHWEITZER;;BK;78;6;78.52;68;;Maison;3
3352290011683BE3464;33522;9001;;RUE;1683;LOUIS DAVID;;BE;346;4;90.25;93;;Maison;5
3352931308FZ55418;33529;3;;RUE;1308;DES HELIANTHEMES;;FZ;554;18;42.08;43;;Appartement;2
3417216594270MT2811;34172;1659;;AV;4270;DU PERE SOULAS;;MT;28;11;167.94;148;;Maison;5
34301381246AM2132;34301;38;;RUE;1246;MAURICE CLAVEL;;AM;213;2;117.35;115;;Appartement;3
3523831690AK47624;35238;3;;RUE;1690;CHARLES GENIAUX;;AK;476;24;67.77;64;;Appartement;4
3532669AC1092;35326;6;;RUE;9;ANNE DAILLON;;AC;109;2;87.84;105;;Maison;5
381117680BB1507;38111;7;;ALL;680;DU CLOS DU CHATEAU;;BB;150;7;136.31;140;;Maison;8
381268720AH4055;38126;8;;AV;720;DU VERCORS;;AH;405;5;39.83;42;;Appartement;2
381295155B071AB56146;38129;5155;;;B071;LES SAGNES;;AB;56;146;28.52;29;;Appartement;1
38185163650CP425;38185;16;;RUE;3650;HUMBERT 2;;CP;42;5;62.12;64;;Appartement;2
3818514960CP726;38185;14;;RUE;960;BERTHE DE BOISSIEUX;;CP;72;6;33.05;31;;Appartement;1
382535492A035AI37987;38253;5492;;RES;A035;ARC EN CIEL;;AI;379;87;22.48;23;;Appartement;2
384212672AB14282;38421;2;;RUE;672;MARCEL PAGNOL;;AB;142;82;18.12;18;;Appartement;1
3847427220BC10118;38474;27;;CHEM;220;DU VINAY;;BC;10;118;56.68;56;;Appartement;3
3851613350AI1113;38516;13;;AV;350;MAQUIS DU GRESIVAUDAN;;AI;11;13;42.43;40;;Appartement;2
38548591780AN1295;38548;591;;AV;780;GEN DE GAULLE;;AN;129;5;76.42;76;;Appartement;3
4019211439AK16765;40192;1;;RUE;1439;MICHEL TISSE;;AK;167;65;24.21;24;;Appartement;1
40296900147AW5143;40296;9001;;AV;47;CHAMBRELENT;;AW;5;143;29.32;30;;Appartement;2
4031323040AC14114;40313;230;;AV;40;DU GENERAL LECLERC;;AC;14;114;50.7;47;;Maison;2
4402041100AW3323;44020;41;;RUE;100;ARISTIDE BRIAND;;AW;332;3;41.9;42;;Maison;3
4405511480BM13037;44055;1;;ALL;1480;DES GNOMES;;BM;130;37;89.4;89;;Appartement;4
44109296402AY107519;44109;29;;RUE;6402;DU PETIT BEL AIR;;AY;107;519;67.78;68;;Appartement;4
4410995451DS1716;44109;9;;RUE;5451;MARX DORMOY;;DS;17;16;66.18;65;;Appartement;3
44109206300MP541;44109;20;;RUE;6300;DE LA PELLETERIE;;MP;54;1;35.39;35;;Appartement;2
4413181440DB111;44131;8;;ESC;1440;ESCALIER GALIPAUD;;DB;11;1;21.15;23;;Appartement;1
44154522430AS419104;44154;52;;AV;2430;PRESIDENT ROOSEVELT;;AS;419;104;45.87;47;;Appartement;2
4419053390BS317111;44190;53;;RUE;390;DE LA CROIX SOURDEAU;;BS;317;111;82.05;80;;Appartement;4
4421149490AC67413;44211;49;;RUE;490;DU MARECHAL JUIN;;AC;674;13;50.4;47;;Appartement;3
451472277AV90539;45147;2;;RUE;277;GEORGES POPOT;;AV;905;39;93.7;95;;Appartement;5
4523420300AZ2948;45234;20;;RUE;300;DE L ANGE;;AZ;294;8;42.05;38;;Appartement;2
4732390022926EY40517;47323;9002;;RUE;2926;HENRI DE BOURNAZEL;;EY;405;17;82.57;45;;Appartement;2
4901510B1110AS79222;49015;10;B;CHE;1110;DE LA SALETTE;;AS;792;22;50.9;51;;Appartement;2
49099132840AI66189;49099;13;;AV;2840;MAL FOCH;;AI;66;189;49.78;50;;Appartement;2
4909996BO23324;49099;9;;RUE;6;ABBE DENIAU;;BO;233;24;60.71;60;;Appartement;3
49328712281BM288450;49328;71;;RUE;2281;SAINT LOUIS;;BM;288;450;97.96;97;;Appartement;5
501476B1537AL5853;50147;6;B;RUE;1537;DE LA ROQUELLE;;AL;58;53;46.35;46;;Appartement;2
50502321330AV5710;50502;32;;RUE;1330;HAVIN;;AV;57;10;95.65;105;;Appartement;3
51454845300AW4383;51454;84;;AV;5300;DE LAON;;AW;438;3;16.06;16;;Appartement;1
51454151725DM239226;51454;15;;ALL;1725;CH NICOLAS ROLAND;;DM;239;226;77.4;79;;Appartement;4
51454603040IL337256;51454;60;;PL;3040;DROUET D ERLON;;IL;337;256;54.5;57;;Appartement;2
5150624230AB98319;51506;24;;AV;230;LE CORBUSIER;;AB;98;319;86.61;89;;Appartement;5
5407637340AH3653;54076;37;;RUE;340;DES JARDINS;;AH;365;3;56.9;60;;Appartement;3
5432351240AC4029;54323;5;;AV;1240;DE LA PAIX;;AC;402;9;78.56;77;;Appartement;3
54323491430AO23353;54323;49;;AV;1430;RAYMOND POINCARE;;AO;233;53;80.34;79;;Appartement;3
545332B210AC4423;54533;2;B;RUE;210;EMILE BINDA;;AC;442;3;44.38;45;;Appartement;2
5454210190AB83213;54542;10;;IMP;190;DE LA FERME;;AB;832;13;70.35;75;;Appartement;2
59328356390AV2742;59328;356;;AV;390;DE DUNKERQUE;;AV;274;2;51.42;52;;Appartement;3
59350202292AM12629;59350;20;;RUE;2292;DELCROIX;;AM;126;29;67.54;68;;Appartement;3
59350559009IK3324;59350;55;;BD;9009;DE VERDUN;;IK;332;4;79.5;76;;Appartement;4
59350565603NX4524;59350;56;;BD;5603;DE LA LIBERTE;;NX;45;24;135.13;141;;Appartement;4
594579B240AI268201;59457;9;B;RUE;240;DE LOMME;;AI;268;201;69.3;68;;Appartement;2
5956951A053AB28712;59569;51;;RES;A053;ALEXIA III;;AB;287;12;51.5;53;;Appartement;2
596469975BC16746;59646;9;;RUE;975;MAL DE LATTRE DE TASSIGNY;;BC;167;46;77.33;78;;Appartement;4
6015981550BD29071;60159;81;;RUE;550;CARNOT;;BD;290;71;102.09;102;;Appartement;5
604636B1365AE393729;60463;6;B;RUE;1365;DE LA TUILERIE;;AE;393;729;52.01;51;;Appartement;3
69034221275AH1901;69034;22;;RUE;1275;MARTIN BASSE;;AH;190;1;97.02;97;;Appartement;4
692647081470AP472112;69264;708;;BD;1470;PIERRE PASQUIER;;AP;472;112;34.06;34;;Appartement;2
6938210435AK11454;69382;10;;RUE;435;DES ARCHERS;;AK;114;54;71.53;51;;Appartement;2
6938311C5796AY13774;69383;11;C;RUE;5796;PFR RENE GUILLET;;AY;137;74;37.54;35;;Appartement;2
69383296090AZ18657;69383;29;;RUE;6090;ROGER BRECHAN;;AZ;186;57;50.09;51;;Appartement;2
693832315245EL327;69383;231;;RUE;5245;PAUL BERT;;EL;32;7;49.72;49;;Appartement;2
69384263615AW21143;69384;26;;RUE;3615;D IVRY;;AW;211;43;26;26;;Appartement;2
693892066295AH164257;69389;206;;RUE;6295;DE ST CYR;;AH;164;257;104.01;106;;Appartement;5
710731830AO2127;71073;1;;RUE;830;GRABIAU;;AO;212;7;40.27;59;;Appartement;3
72181305105BV23881;72181;30;;RUE;5105;DE LA SOLITUDE;;BV;238;81;35.1;35;;Appartement;2
74010212110EH11814;74010;21;;AV;2110;DES ROMAINS;;EH;118;14;61.97;60;;Appartement;3
75101238212AX5655;75101;23;;RUE;8212;DE RICHELIEU;;AX;56;55;14.7;9;;Appartement;1
75103439905AC9118;75103;43;;RUE;9905;VOLTA;;AC;9;118;47.71;48;;Appartement;3
751035B4483AT4415;75103;5;B;RUE;4483;DES HAUDRIETTES;;AT;44;15;76.77;72;;Appartement;3
75109104159BC3215;75109;10;;RUE;4159;GERANDO;;BC;32;15;11.48;14;;Appartement;1
75110904497AP516;75110;90;;RUE;4497;D HAUTEVILLE;;AP;5;16;32.75;34;;Appartement;2
7511089100AX215;75110;8;;BD;9100;DE STRASBOURG;;AX;21;5;73.06;72;;Appartement;2
7511076664AZ3025;75110;7;;RUE;6664;DE NANCY;;AZ;30;25;28.44;26;;Appartement;2
75110241916BF2119;75110;24;;RUE;1916;DU CHATEAU D EAU;;BF;21;19;25.47;27;;Appartement;1
75110188032BR32141;75110;18;;PL;8032;RAOUL FOLLEREAU;;BR;32;141;50.5;50;;Appartement;2
7511178B6530CP8312;75111;78;B;RUE;6530;DE MONTREUIL;;CP;83;12;59.86;58;;Appartement;3
75112678174BY4714;75112;67;;BD;8174;DE REUILLY;;BY;47;14;56.08;58;;Appartement;3
75112226624CE119119;75112;22;;CITE;6624;MOYNET;;CE;119;119;81.66;81;;Appartement;4
75116343465AR2613;75116;34;;BD;3465;EXELMANS;;AR;26;13;53.74;45;;Appartement;2
75116235249BZ4514;75116;23;;RUE;5249;JEAN DE LA FONTAINE;;BZ;45;14;22.18;20;;Appartement;1
7511682240DT91023;75116;8;;RUE;2240;CDT SCHLOESING;;DT;9;1023;31.08;31;;Appartement;1
75117104776DK7576;75117;10;;RUE;4776;JACQUEMONT;;DK;75;76;43.55;41;;Appartement;3
7511728271DO6918;75117;2;;RUE;8271;ROBERVAL;;DO;69;18;32.1;31;;Appartement;2
75118862534AW11421;75118;86;;RUE;2534;DAMREMONT;;AW;114;21;79.09;78;;Appartement;4
75118581723BF12110;75118;58;;RUE;1723;CHAMPIONNET;;BF;12;110;17.91;18;;Appartement;1
75118135012BG10435;75118;13;;RUE;5012;JOSEPH DIJON;;BG;104;35;28.24;32;;Appartement;2
751181201765CH17485;75118;120;;BD;1765;DE LA CHAPELLE;;CH;174;85;12.25;12;;Appartement;1
75119149284BA111244;75119;14;;RUE;9284;DE THIONVILLE;;BA;11;1244;45.35;46;;Appartement;2
75119598076EE4412;75119;59;;RUE;8076;REBEVAL;;EE;44;12;105.5;113;;Appartement;6
7511931390EW810;75119;3;;RUE;1390;BURNOUF;;EW;8;10;27.1;28;;Appartement;2
75120756270AO4110;75120;75;;RUE;6270;DE MENILMONTANT;;AO;41;10;45.12;48;;Appartement;2
75120326958CW7111;75120;32;;RUE;6958;DES ORTEAUX;;CW;71;11;20.85;20;;Appartement;1
75120994287DY2213;75120;99;;RUE;4287;DES GRANDS CHAMPS;;DY;22;13;65.9;67;;Appartement;4
76216146220AM4832;76216;146;;RTE;220;DE DIEPPE;;AM;483;2;49;57;;Maison;3
7625925344BW143159;76259;253;;RUE;44;ANITA CONTI;;BW;143;159;54;54;;Appartement;3
763229176AR13713;76322;9;;ALL;176;DES ARCADES;;AR;137;13;75.43;72;;Appartement;3
7632215590AV14428;76322;15;;AV;590;FRANKLIN ROOSEVELT;;AV;144;28;65.76;68;;Appartement;4
76351372085DA32618;76351;37;;RUE;2085;DEMIDOFF;;DA;326;18;26.06;26;;Appartement;1
764515A100AB137217;76451;5;;PARC;A100;DE LA SCIE;;AB;137;217;64.62;64;;Appartement;3
76540196400BD2821;76540;19;;RUE;6400;DE LA PIE;;BD;28;21;40.06;53;;Appartement;1
7654053630LS1064;76540;5;;RUE;3630;DU GENERAL SARRAIL;;LS;106;4;37.37;40;;Appartement;2
770149001A010A931831;77014;9001;;;A010;AVE DE GAULLE 27 FOUGERES;;A;931;831;65.1;67;;Appartement;4
7707924320AH82463;77079;24;;RUE;320;GRANDE;;AH;824;63;40.94;43;;Appartement;2
7710841417CD6967;77108;4;;RUE;1417;FELIX BUCHIN;;CD;69;67;17.52;19;;Appartement;1
7716916259B49413;77169;16;;RUE;259;DE L ORANGERIE;;B;494;13;93.32;92;;Appartement;5
771863540AI18213;77186;3;;RUE;540;DES GLAIEULS;;AI;182;13;64.5;68;;Appartement;3
7722232280AK36820;77222;32;;RUE;280;DE MORTRY;;AK;368;20;47.62;22;;Maison;1
772432345BC446304;77243;23;;AV;45;ALBERT CAMUS;;BC;446;304;89.77;90;;Appartement;4
7728439540BM31938;77284;39;;RUE;540;DE LA GRANDE ILE;;BM;319;38;52;51;;Appartement;3
773075B61C70316;77307;5;B;ALL;61;DES BOSQUETS;;C;703;16;49.25;47;;Appartement;2
773072677ZA11211;77307;26;;RUE;77;DE LA CHARBONNIERE;;ZA;112;11;69.95;69;;Appartement;4
774495139A2913;77449;5;;RUE;139;DE MAGELLAN;;A;291;3;47.1;47;;Appartement;2
7746464140AL4833;77464;64;;RUE;140;DE CLAYE;;AL;483;3;44.44;45;;Appartement;2
782244075AL161;78224;40;;RUE;75;JEAN MERMOZ;;AL;16;1;50.9;58;;Appartement;2
783973920A250112;78397;39;;AV;20;ANDRE LECLERC;;A;2501;12;31.19;32;;Appartement;2
7842329490AT65726;78423;29;;RUE;490;DE L AUBEPINE;;AT;657;26;142.14;143;;Maison;5
